employee_id,job_title,salary,laptop_id
1000,Apprentice Developer,16000,9000
1001,Tech Lead,61000,9001
1002,Developer,35000,9003
1003,Developer,37000,9001
1004,Apprentice Developer,16500,9000
1005,Product Lead,53000,9001
1006,Delivery Lead,52000,9000
1007,Developer,48000,9000
1008,Marketing Lead,75000,9003
1009,Developer,38500,9001
1010,Developer,39500,9004
1011,Tech Lead,61000,9000
1012,Product Lead,49500,9004
1013,Delivery Lead,46500,9005
1014,Marketing Lead,61000,9000
1015,Developer,41000,9000
1016,Developer,42500,9005
1017,Developer,45500,9000
