employee_id,job_title,date_start,date_end
1000,Apprentice Developer,20190103,20991231
1001,Tech Lead,20151212,20991231
1002,Developer,20120503,20991231
1003,Developer,20180716,20991231
1004,Apprentice Developer,20171025,20991231
1005,Product Lead,20161003,20991231
1006,Delivery Lead,20110223,20991231
1007,Developer,20180507,20991231
1008,Marketing Lead,20180816,20991231
1009,Developer,20150725,20991231
1010,Developer,20111215,20991231
1011,Tech Lead,20180226,20991231
1012,Product Lead,20180607,20991231
1013,Delivery Lead,20150516,20991231
1014,Marketing Lead,20111006,20991231
1015,Developer,20171218,20991231
1016,Developer,20180329,20991231
1017,Developer,20150307,20991231
1001,Developer,20051128,20151211
1002,Apprentice Developer,20100831,20120502
1001,Apprentice Developer,20050828,20051127
1004,Product Lead,20151228,20171024
1009,Apprentice Developer,20140310,20150724
1010,Apprentice Developer,20110330,20111214
1011,Apprentice Developer,20170405,20180225
1016,Apprentice Developer,20161207,20180328
